ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
"KCLANPO24N000015000","장소","관광지","3008588","굿모닝세계일주",,,"60403","항공사/여행사","1111011800100750000","서울특별시","종로구","내수동",,"75","1111011800","1111053000","111104100158","새문안로3길","36","126.97327274396","37.5734317981166","다사534528","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015001","장소","관광지","3008599","비젼아시아",,,"60403","항공사/여행사","1111016900100850003","서울특별시","종로구","혜화동",,"85-3","1111016900","1111065000","111103005008","창경궁로","285","127.001662996219","37.5864595338222","다사560542","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015002","장소","관광지","3008603","새영남여행사",,,"60403","항공사/여행사","4833012000107180013","경상남도","양산시","덕계동",,"718-13","4833012000","4833057000","483303338016","덕계로","91","129.152447860457","35.3757988964908","마마501101","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015003","장소","관광지","3008641","유투어",,,"60403","항공사/여행사","1111012800101970028","서울특별시","종로구","관훈동",,"197-28","1111012800","1111061500","111104100256","인사동7길","12","126.985219276579","37.5730678056806","다사545527","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015004","장소","관광지","3008658","루카스여행사",,,"60403","항공사/여행사","1162010200117000000","서울특별시","관악구","신림동",,"1700","1162010200","1162076500","116203117009","문성로","86","126.91346204537","37.4770555347303","다사481421","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015005","장소","관광지","3008668","트랜스오비트",,,"60403","항공사/여행사","1171010200100110010","서울특별시","송파구","신천동",,"11-10","1171010200","1171071000","117103123014","오금로","58","127.105442755228","37.5167376860049","다사651464","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015006","장소","관광지","3008699","하나로투어",,,"60403","항공사/여행사","4711125321102940000","경상북도","포항시 남구","연일읍","생지리","294","4711125321","4711125300","471113303031","연일중앙로","11","129.345320493244","35.9976692759777","마마663794","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015007","장소","관광지","3008709","삼성고속관광여행사",,,"60403","항공사/여행사","4418010700100170000","충청남도","보령시","내항동",,"17","4418010700","4418056500","441803252017","명해로","74","126.594942641757","36.3347189306745","다바187156","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015008","장소","관광지","3008740","하나투어","엠트코",,"60403","항공사/여행사","2611010700100760014","부산광역시","중구","중앙동4가",,"76-14","2611010700","2611051000","261102000010","중앙대로","154","129.038165414335","35.1109984963635","마라401806","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015009","장소","관광지","3008743","현대걸리버투어",,,"60403","항공사/여행사","4141010100107710010","경기도","군포시","당동",,"771-10","4141010100","4141051000","414103200004","군포로","497","126.944299181857","37.3508704805224","다사507281","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
